名称,别名,发行日期,地址,封面地址,收藏日期,我的评分,标签,吐槽,其它信息
3月的狮子 第二季,3月のライオン 第2シリーズ,2017-10-14,https://bangumi.tv/subject/211567,//lain.bgm.tv/pic/cover/l/5c/49/211567_pGm5Q.jpg,2021-4-4,,,"","22话 /  2017年10月14日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛"
白熊咖啡馆,しろくまカフェ,2012-04-05,https://bangumi.tv/subject/32318,//lain.bgm.tv/pic/cover/l/e5/f6/32318_qc25q.jpg,2021-4-4,,,"","50话 /  2012年4月5日 / ヒガアロハ"
小木乃伊到我家,ミイラの飼い方,2018-01-11,https://bangumi.tv/subject/218440,//lain.bgm.tv/pic/cover/l/ee/3e/218440_I30pp.jpg,2021-4-4,,,"","12话 /  2018年1月11日 / かおり / 空木かける（comico） / 岸田隆宏"
千绪的通学路,ちおちゃんの通学路,2018-07-06,https://bangumi.tv/subject/218226,//lain.bgm.tv/pic/cover/l/13/a0/218226_pZXdL.jpg,2021-4-4,,,"","12话 /  2018年7月6日 / 川崎直孝（月刊コミックフラッパー連載／KADOKAWA刊）"
灰与幻想的格林姆迦尔,灰と幻想のグリムガル,2016-01-10,https://bangumi.tv/subject/148726,//lain.bgm.tv/pic/cover/l/0c/20/148726_yerWn.jpg,2021-4-4,,,"","12话 /  2016年1月10日 / 中村亮介 / 十文字青 （ オーバーラップ文庫刊 ） / 細居美恵子"
摇曳露营△,ゆるキャン△,2018-01-04,https://bangumi.tv/subject/207195,//lain.bgm.tv/pic/cover/l/18/bc/207195_OOyqz.jpg,2021-4-4,,,"","12话 /  2018年1月4日 / 京極義昭 / あfろ（芳文社「まんがタイムきららフォワード」連載） / 佐々木睦美"
紫罗兰永恒花园,ヴァイオレット・エヴァーガーデン,2018-01-10,https://bangumi.tv/subject/183878,//lain.bgm.tv/pic/cover/l/1e/e2/183878_Fef1o.jpg,2021-4-4,,,"","13话 /  2018年1月10日 / 石立太一 / 暁佳奈（KAエスマ文庫／京都アニメーション） / 高瀬亜貴子"
白砂的Aquatope,白い砂のアクアトープ,2021-07-08,https://bangumi.tv/subject/325281,//lain.bgm.tv/pic/cover/l/d4/a3/325281_CZa9A.jpg,2021-4-4,,,"","2021年7月8日 / 篠原俊哉 / project ティンガーラ / 秋山有希"
大图书馆的牧羊人,大図書館の羊飼い,2014-10-08,https://bangumi.tv/subject/67373,//lain.bgm.tv/pic/cover/l/1d/f9/67373_PniL6.jpg,2021-4-3,,,"","12话 /  2014年10月8日 / Team ニコ（小西賢一、信田ユウ、神谷友美、袖山麻美、林佳織） / オーガスト / Team ニコ"
架向星空之桥,星空へ架かる橋,2011-04-11,https://bangumi.tv/subject/10609,//lain.bgm.tv/pic/cover/l/c9/74/10609_304VY.jpg,2021-4-3,,,"","12话 /  2011年4月11日 / 三原武憲 / feng / 大河原晴男"
